datahora;Cap-SP;Cases-SP;ICU-SP;Corrected-SP;Accum Corrected-SP;Ratio-SP
2020-12-18;8376;6641.571428571428;4659.162857142857;50475.94285714285;342082.5142857143;0.013219987405831288
2020-12-19;8376;7191.0;4697.591428571429;54651.6;343885.8857142857;0.013281406876761515
2020-12-20;8376;7056.714285714285;4729.53;53631.028571428564;346552.39999999997;0.013302906231879085
2020-12-21;8376;7289.571428571428;4757.162857142857;55400.74285714285;349689.02857142856;0.013298369401375533
2020-12-22;8376;8189.857142857143;4778.53;62242.91428571429;363479.77142857143;0.012894159430189888
2020-12-23;8376;9673.142857142857;4793.04;73515.88571428572;399166.1142857143;0.011821231134318403
2020-12-24;8376;8108.571428571428;4800.407142857142;61625.142857142855;411543.2571428571;0.011529919467488119
2020-12-25;8376;7204.857142857143;4801.2642857142855;54756.91428571429;415824.22857142857;0.011460036450252098
2020-12-26;8376;5605.714285714285;4797.571428571428;42603.428571428565;403776.0571428571;0.01183736278790383
2020-12-27;8376;6010.857142857143;4792.714285714285;45682.514285714286;395827.54285714286;0.012097869606128612
2020-12-28;8376;5672.714285714285;4786.0199999999995;43112.62857142857;383539.4285714285;0.012496218359690768
2020-12-29;8376;5924.571428571428;4779.958571428571;45026.74285714285;366323.2571428571;0.013084062879313975
2020-12-30;8376;6134.0;4775.754285714285;46618.4;339425.77142857143;0.014113622317759861
2020-12-31;8376;6258.0;4776.285714285715;47560.799999999996;325361.4285714286;0.014713118409605394
2021-01-01;8376;6300.571428571428;4779.754285714285;47884.34285714285;318488.8571428571;0.01502095994900408
2021-01-02;8376;6373.285714285715;4790.121428571429;48436.97142857143;324322.4;0.014747498420191307
2021-01-03;8376;6463.714285714285;4805.325714285714;49124.22857142857;327764.1142857143;0.014598137824553966
2021-01-04;8376;6559.714285714285;4825.632857142858;49853.82857142857;334505.3142857143;0.014320862746550794
2021-01-05;8376;6617.428571428572;4848.96;50292.45714285714;339771.02857142856;0.014127932157721295
2021-01-06;8376;7001.0;4878.122857142857;53207.6;346360.22857142857;0.01390138279532872
2021-01-07;8376;7551.571428571428;4909.49;57391.94285714285;356191.3714285714;0.013571118488174312
2021-01-08;8376;8965.857142857143;4949.96;68140.51428571428;376447.54285714286;0.012905464520476105
2021-01-09;8376;10365.714285714286;4997.938571428572;78779.42857142857;406789.99999999994;0.012015827752473198
2021-01-10;8376;10672.857142857143;5051.428571428572;81113.71428571429;438779.4857142857;0.011219932295683199
2021-01-11;8376;10781.714285714286;5108.51;81941.02857142857;470866.6857142857;0.010541172891277569
2021-01-12;8376;10756.142857142857;5172.04;81746.6857142857;502320.9142857143;0.009972989947462159
2021-01-13;8376;10862.0;5238.428571428572;82551.2;531664.5142857142;0.009519374600858855
2021-01-14;8376;10810.142857142857;5311.162857142857;82157.08571428571;556429.6571428571;0.009198818654789937
2021-01-15;8376;10984.714285714286;5384.2642857142855;83483.82857142857;571772.9714285715;0.009060482461506165
2021-01-16;8376;11300.857142857143;5456.897142857143;85886.51428571428;578880.0571428571;0.009062506861419265
2021-01-17;8376;11315.285714285714;5531.202857142857;85996.17142857143;583762.5142857142;0.00910411947223492
2021-01-18;8376;11304.285714285714;5606.121428571429;85912.57142857142;587734.0571428571;0.009163551022701897
2021-01-19;8376;11768.714285714286;5677.7757142857145;89442.22857142857;595429.6;0.009166455580293352
2021-01-20;8376;11645.285714285714;5748.428571428572;88504.17142857143;601382.5714285714;0.009196867992550229
2021-01-21;8376;11417.857142857143;5813.061428571428;86775.71428571429;606001.2;0.009245090469073902
2021-01-22;8376;10559.142857142857;5871.878571428571;80249.4857142857;602766.8571428572;0.009410263744306188
2021-01-23;8376;10676.57142857143;5924.858571428572;81141.94285714286;598022.2857142857;0.009596710476832958
2021-01-24;8376;10584.0;5971.062857142858;80438.4;592464.5142857142;0.009792795581260888
2021-01-25;8376;10574.57142857143;6010.041428571429;80366.74285714286;586918.6857142857;0.00998364318144464
2021-01-26;8376;10146.857142857143;6043.49;77116.11428571428;574592.5714285714;0.010288736622464274
2021-01-27;8376;10379.714285714286;6065.674285714286;78885.82857142857;564974.2285714286;0.010544113603274632
2021-01-28;8376;10759.42857142857;6081.082857142857;81771.65714285713;559970.1714285715;0.01070671534020194
